ORF	 "Empirical phi from data in Beyer et al 2003"
YDR307W	0.03548771
YDR308C	0.072918968
YDR309C	0.079456984
YDR310C	0.010599773
YDR311W	0.01821285
YDR312W	0.025138625
YDR313C	0.003161747
YDR314C	0.002164456
YDR315C	0.007899402
YDR316W	0.01197331
YDR317W	0.006633295
YDR318W	0.009305582
YDR319C	0.011847116
YDR320C	0.010547278
YDR321W	0.246822429
YDR322W	0.078018327
YDR323C	0.008004454
YDR324C	0.094208371
YDR325W	0.018103746
YDR326C	0.017082472
YDR328C	0.692553298
YDR329C	0.044174052
YDR330W	0.006909687
YDR331W	0.023413657
YDR332W	0.001099279
YDR333C	0.020070076
YDR334W	0.016828495
YDR335W	0.042733563
YDR336W	0.010182631
YDR337W	0.044591101
YDR338C	0.015005091
YDR339C	0.179850605
YDR341C	0.703248721
YDR342C	0.559826112
YDR343C	0.583984299
YDR345C	0.739927833
YDR346C	0.121855926
YDR347W	0.079182469
YDR348C	0.036567987
YDR349C	0.039604568
YDR350C	0.005086125
YDR351W	0.006633406
YDR352W	0.043472095
YDR353W	1.168229162
YDR354W	0.076775877
YDR356W	0.001912619
YDR357C	0.07441889
