ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YHL046C	0.2809	1	nan	1744106.292	1744106.292	0.000	0	0	
YOR299W	0.06559	1	nan	182260838235604781435264260112384.000	182260838235604781435264260112384.000	0.000	0	0	
YJR090C	0.03743	1	nan	15440536225769825188912630412367635833740389777408.000	15440536225769825188912630412367635833740389777408.000	0.000	0	0	
YNL121C	0.4867	1	nan	266635592304356382363090944.000	266635592304356382363090944.000	0.000	0	0	
YBL051C	0.1382	1	nan	52724517607061334061641367552.000	52724517607061334061641367552.000	0.000	0	0	
YDR023W	2.822	1	nan	82849696620850872320.000	82849696620850872320.000	0.000	0	0	
YHL047C	0.1052	1	nan	1809532055067168914957926400.000	1809532055067168914957926400.000	0.000	0	0	
YLR304C	1.178	1	nan	59364469667032633543072925351936.000	59364469667032633543072925351936.000	0.000	0	0	
YER158C	0.04802	1	nan	12778555363982713590644736.000	12778555363982713590644736.000	0.000	0	0	
YNL122C	0.1642	1	nan	2150622.926	2150622.926	0.000	0	0	
YBL052C	0.02425	1	nan	794580354680293588848762203949498368.000	794580354680293588848762203949498368.000	0.000	0	0	
YJR091C	0.05285	1	nan	9185975892319919040188409870060615716210475008.000	9185975892319919040188409870060615716210475008.000	0.000	0	0	
YOR301W	0.07556	1	nan	31266314964764372992.000	31266314964764372992.000	0.000	0	0	
YDR025W	13.34	1	nan	42091581.347	42091581.347	0.000	0	0	
YHL048W	0.2328	1	nan	230470540366337952.000	230470540366337952.000	0.000	0	0	
YER159C	0.3567	1	nan	26701887.627	26701887.627	0.000	0	0	
YOR302W	7.5	148	50083424984	388.213	375.904	12.309	0	0	
YHL049C	0.02785	1	nan	5652678744413.427	5652678744413.427	0.000	0	0	
YJR092W	0.0438	1	nan	9222629721186930829141284419902467237587175555640839628652544.000	9222629721186930829141284419902467237587175555640839628652544.000	0.000	0	0	
